"Organization", "Name", "LinkedIn", "Designation", "Tags", "Location", "Twitter", "Class"
superpower-d964,Alix Smithson,https://www.linkedin.com/in/alixsmithson,Business Development Manager,"Manager
Marketing",,,A
superpower-d964,Bernice Ruzzo,https://www.linkedin.com/in/bernice-ruzzo-70348727,Accounting & Administration Manager,"Manager
Finance",,,A
superpower-d964,Boiteko Lesetedi,https://www.linkedin.com/in/boiteko-lesetedi-378522a6,Sales Manager,"Manager
Sales",,,A
superpower-d964,Richard Pasquini,https://www.linkedin.com/in/richard-pasquini-285b862b,Associate Manager Manufacturing and Engineering,"Manager
Engineering",,,A
superpower-d964,Art Kazanjian,https://www.linkedin.com/in/art-kazanjian-28653129,GM,"Non-Management
Management",,,A
superpower-d964,Yifei Zhang,https://www.linkedin.com/in/zhangyifei,Vice President of R&D,"Non-Management
Engineering",,,A
superpower-d964,Max Marchione,,Founder,,,https://www.twitter.com/maxmarchione,B
roga-life,Ami Lebendiker,https://www.linkedin.com/in/amileb,Founder & CEO,"Non-Management, Executive
Management",,,A
roga-life,Cherednichenko Alexander,https://www.linkedin.com/in/cherednichenko-alexander-b6519711,"Risk, Safety, Compliance",Non-Management,,,A
roga-life,Leo Solovyov,https://www.linkedin.com/in/leo-solovyov-9ab76843,Business Management,Manager,,,A
roga-life,Jody Rogac,https://www.linkedin.com/in/jody-rogac-89224128,"Publishing, Editorial and Reporting",Non-Management,,,A
roga-life,Alison Smith,,Chief Scientist,,,https://twitter.com/crunchbase,B
roga-life,Ami Lebendiker,https://www.linkedin.com/in/ami-lebendiker-b0174226/,CEO,,"San Francisco, California, United States",https://twitter.com/crunchbase,B
samphire-neuroscience,Ervinas Bernatavicius,https://www.linkedin.com/in/ervinas-bernatavicius-a75b3536,Engineering Lead,"Manager
Engineering",,,A
trueclaim-ff70,Barbora P Howell,,CEO and Co-Founder,,,https://twitter.com/crunchbase,B
trueclaim-ff70,Bobby (Robert) Bayer,,Co-Founder and CTO,,,https://twitter.com/crunchbase,B
deep-breath,Jeffrey Golde,https://www.linkedin.com/in/jeffrey-golde,Business Management,Non-Management,,,A
deep-breath,Matthew Kennis,https://www.linkedin.com/in/matthew-kennis-db,Business Management,Non-Management,,,A
deep-breath,Daria Kozlova,,CMO,,,https://twitter.com/crunchbase,B
deep-breath,Anton Balakirev,,CEO,,,https://twitter.com/crunchbase,B
dynatech-a2af,Antal Suto,https://www.linkedin.com/in/antal-suto-ba28a729,Engineering,"Non-Management
Engineering",,,A
dynatech-a2af,Collin Caston,https://www.linkedin.com/in/collin-caston-74a67451,Engineering,"Non-Management
Engineering",,,A
dynatech-a2af,Darja Margina,https://www.linkedin.com/in/darja-margina-a510b1122,Marketing and Product,Non-Management,,,A
dynatech-a2af,L.W. Yandell,https://www.linkedin.com/in/l-w-yandell-06824816,Business Management,Non-Management,,,A
dynatech-a2af,Massood Homayun,https://www.linkedin.com/in/massood-homayun-59342215,Business Management,Non-Management,,,A
dynatech-a2af,Rex Blevins,https://www.linkedin.com/in/rex-blevins-95519113,Sales and Support,Non-Management,,,A
dynatech-a2af,Tony Suto,https://www.linkedin.com/in/tony-suto-aab87623,Business Management,Non-Management,,,A
dynatech-a2af,Wissam Naamani,https://www.linkedin.com/in/wissam-naamani-45a155b,Engineering,"Non-Management
Engineering",,,A
dynatech-a2af,Sayyed Husain,https://www.linkedin.com/in/sayyed-moin-husain-35a99839,Graphic Designer,Operations,,,A
dynatech-a2af,Muzamil Bashir,,CEO,,,https://twitter.com/crunchbase,B
dynatech-a2af,Bashir Ahmad,,CFO,,,https://twitter.com/crunchbase,B
preactiv,Alec Snow,https://www.linkedin.com/in/alec-snow-b85358157,Co-Founder,,"Bristol, Bristol, City of, United Kingdom",https://twitter.com/crunchbase,B
preactiv,Rebecca Allam,https://www.linkedin.com/in/rebecca-allam-a859a41a9,Co-Founder,,"Bristol, Bristol, City of, United Kingdom",https://twitter.com/crunchbase,B
preactiv,Chris Cox,https://www.linkedin.com/in/chris-cox-2b5733b,Chief Technology Officer,,"London, England, United Kingdom",https://twitter.com/crunchbase,B
voda-3deb,Jaron Soh,https://www.jaron.co/,Co-founder & CEO,,"London, England, United Kingdom",https://twitter.com/crunchbase,B
